Date,Symbol,Open,High,Low,Close,Return,Return+1
10/12/2020,ITMG,8100,8325,8000,8300,0,1
10/19/2020,ITMG,8300,8475,8050,8075,-0.027108434,0.972891566
10/26/2020,ITMG,8050,8200,8050,8125,0.00619195,1.00619195
11/2/2020,ITMG,8200,8575,8200,8550,0.052307692,1.052307692
11/9/2020,ITMG,8675,8700,8300,8475,-0.00877193,0.99122807
11/16/2020,ITMG,8525,10925,8525,10150,0.197640118,1.197640118
11/23/2020,ITMG,10300,12525,10225,11850,0.167487685,1.167487685
11/30/2020,ITMG,12200,15700,12000,14950,0.261603376,1.261603376
12/7/2020,ITMG,15200,15375,14100,14675,-0.018394649,0.981605351
12/14/2020,ITMG,15000,15600,14650,14875,0.01362862,1.01362862
12/21/2020,ITMG,14875,15150,13300,14250,-0.042016807,0.957983193
12/28/2020,ITMG,14275,14675,13600,13850,-0.028070175,0.971929825
1/4/2021,ITMG,13800,14200,12400,13600,-0.018050542,0.981949458
1/11/2021,ITMG,14000,15050,13775,14200,0.044117647,1.044117647
1/18/2021,ITMG,14000,14375,13000,13050,-0.080985915,0.919014085
1/25/2021,ITMG,13050,13050,11600,12250,-0.061302682,0.938697318
2/1/2021,ITMG,12100,12800,11525,12600,0.028571429,1.028571429
2/8/2021,ITMG,13000,13100,12275,12950,0.027777778,1.027777778
2/15/2021,ITMG,13000,13250,11975,12200,-0.057915058,0.942084942
2/22/2021,ITMG,12225,12800,11850,12200,0,1
3/1/2021,ITMG,12200,12325,11650,11675,-0.043032787,0.956967213
3/8/2021,ITMG,11825,11875,11425,11550,-0.010706638,0.989293362
3/15/2021,ITMG,11650,12475,11450,12375,0.071428571,1.071428571
3/22/2021,ITMG,12625,13200,11825,12200,-0.014141414,0.985858586
3/29/2021,ITMG,12300,12325,11425,11700,-0.040983607,0.959016393
4/5/2021,ITMG,11800,12725,11775,12375,0.057692308,1.057692308
4/12/2021,ITMG,12375,12500,11700,11925,-0.036363636,0.963636364
4/19/2021,ITMG,11950,12875,11900,12075,0.012578616,1.012578616
4/26/2021,ITMG,12075,12175,11700,11875,-0.016563147,0.983436853
5/3/2021,ITMG,11825,12400,11750,12175,0.025263158,1.025263158
5/10/2021,ITMG,12250,13075,12150,12875,0.057494867,1.057494867
5/17/2021,ITMG,13000,13475,12525,12725,-0.011650485,0.988349515
5/24/2021,ITMG,13000,13350,12875,12975,0.019646365,1.019646365
5/31/2021,ITMG,13200,14175,12800,14100,0.086705202,1.086705202
6/7/2021,ITMG,14075,15075,13675,14900,0.056737589,1.056737589
6/14/2021,ITMG,14950,15200,14325,14600,-0.020134228,0.979865772
6/21/2021,ITMG,14500,14825,13850,14600,0,1
6/28/2021,ITMG,14800,14825,13525,14275,-0.022260274,0.977739726
7/5/2021,ITMG,14300,15675,13950,14850,0.04028021,1.04028021
7/12/2021,ITMG,15000,15550,14200,15250,0.026936027,1.026936027
7/19/2021,ITMG,15250,16475,15250,16300,0.068852459,1.068852459
7/26/2021,ITMG,16300,17275,15825,16950,0.039877301,1.039877301
8/2/2021,ITMG,17100,17225,15900,16175,-0.045722714,0.954277286
8/9/2021,ITMG,16825,17750,16275,17100,0.057187017,1.057187017
8/16/2021,ITMG,17100,17550,15550,15800,-0.076023392,0.923976608
8/23/2021,ITMG,15750,16200,15075,15250,-0.034810127,0.965189873
8/30/2021,ITMG,15500,17150,15425,16925,0.109836066,1.109836066
9/6/2021,ITMG,17025,17450,16700,17125,0.011816839,1.011816839
9/13/2021,ITMG,17125,18750,17025,17825,0.040875912,1.040875912
9/20/2021,ITMG,18000,19125,17350,18450,0.035063114,1.035063114
9/27/2021,ITMG,18550,21750,18325,21175,0.147696477,1.147696477
10/4/2021,ITMG,22000,27000,21975,24850,0.173553719,1.173553719
10/11/2021,ITMG,25125,26850,24850,26750,0.076458753,1.076458753
